size,assignments,comparisons,overall
100,2551,2452,5003
200,10298,10099,20397
300,22370,22071,44441
400,39031,38632,77663
500,61206,60707,121913
600,94316,93717,188033
700,128378,127679,256057
800,163041,162242,325283
900,204924,204025,408949
1000,248706,247707,496413
